fd7cc9be11cf8f404100a297268473065192a503	2026-07-14	chore: final settings state before v1 retirement
bfc83aab65662247d0c3a72d2c8870104bdf5d50	2026-06-21	feat(blueprint): Socratic project-inception skill + greenfield scaffolder
dc007f480f38fe908c01a76a65b09b2760fbbea5	2026-06-19	docs(semaphore): fix stale 'other live sessions' in session_breakdown comment (label is 'other session')
03987eff8f90d7d02603ef06406650201d468b8c	2026-06-19	polish(semaphore): block-message display honesty + crashed-session recovery path (3rd review)
b569a3d8e744492da90197a6574ee3c059ab12be	2026-06-19	fix(semaphore): kill the rm-f-STATE cross-session footgun + per-session block view; activate F2
caad87f96b6272d57f1e573674d84e69f7af3dfc	2026-06-19	fix(semaphore,mcp-reaper): bound the Codex external companion tree (memory-burst blind-spot audit)
e6c5244d845c1f96e25561d6cc64083bcf74fec2	2026-06-19	fix(harness-doctor): Layer B fails CLOSED on ancestry uncertainty (3-party re-confirm)
58bd9b483210eca163ff94a056a6ad3ce1e71935	2026-06-19	fix(harness-doctor): senior-grade defense-in-depth vs the L4-smoke fork-bomb (3-party review)
32e7bdd3c65daa0215edd829282e9ae9ae710496	2026-06-19	fix(harness-doctor): re-entrancy guard — stop the L4-smoke fork-bomb (caused a live memory burst)
fb10f64fea763bec4bee5f22b5927c512ff7d63c	2026-06-18	fix(harness): close the 2 follow-ups from the 3-party re-confirm (complete fixes #2/#3)
8e5798df269ae797034f1b48510e35163144cf98	2026-06-18	fix(harness): close 3 items from the holistic 3-party completeness review
27f54603ff9c45f3acbe67c96003d847dcb60c59	2026-06-18	fix(gitnexus): index lock — trap HUP/INT/TERM so catchable signals release the lock
e5dd97dfde1cf91189b420de0d250834e3f16d6a	2026-06-18	fix(gitnexus): index lock v5 — drop the in-path steal entirely (mkdir-only, provably cap=1)
cbe741eeda2d12f2d6a4cf7410e4fd258c6dfb4d	2026-06-18	fix(gitnexus): index lock v4 — close the init-window steal-stomp (4th GPT-5 pass)
973b3913949c12d796ee007202fe6dfc31a7f7ff	2026-06-18	fix(gitnexus): index lock v3 — fix the fixes (3rd GPT-5 pass: 2 of my hardenings could themselves break cap=1)
a349beb3e9451cabfc18a109734cdf172d77e283	2026-06-18	fix(gitnexus): harden the index lock — 5 cap-violation fixes from a GPT-5 concurrency review
5066a8cf458064b6981faf1e2c32396cd4072982	2026-06-18	feat(gitnexus): host-global indexer lock — close the residual cross-worktree fan-out + crash wedge
2e73691ccf881ba28a7219e3686e49ce8cfe9478	2026-06-18	docs(cleanup,gitnexus): regression-guard the disposal gate + correct the stripped-A scope
5f2201a2500a801f9422e5800e729fe13ab08b03	2026-06-18	fix(cleanup): align Rules with direct-to-main design — drop stale PR-required gate
9ae95ac412952063f6b913af48cd0d5ed08c1385	2026-06-18	fix(cleanup): derive $DEFAULT (portability) + warn on no-anchor plans
7a6346e587c21b6987dd459d9a650cbdb7cc5beb	2026-06-18	feat(cleanup): discovery-notice hook + structured disposal-plan (STEPS)
ced3ba62316c08839c53cf43a1fe73fe38fd3493	2026-06-18	fix(cleanup): strip inline frontmatter comments in the Step 1 plan enumerator
